producto_id,nombre,descripcion,categoria_id,proveedor_id,ubicacion_id,stock_actual,stock_minimo,stock_maximo,punto_reorden,costo_unitario,precio_venta,precio_venta_mayoreo,ventas_mes_actual,ventas_mes_anterior,ventas_trimestre,ventas_año,fecha_ultima_compra,fecha_ultima_venta,fecha_creacion,codigo_barras,unidad_medida,marca,modelo,garantia_meses,requiere_refrigeracion,es_peligroso,activo
1,Cinta métrica 5m,Stanley STHT30825 - Producto profesional de alta calidad,1,1,1,42,8,32,13,33.33,45.20,39.78,32,29,90,352,2024-11-15,2024-12-08,2023-06-22,771234567890123,pieza,Stanley,STHT30825,6,FALSE,FALSE,TRUE
2,Cinta métrica 8m,Stanley STHT30830 - Producto profesional de alta calidad,1,1,2,67,12,48,17,48.15,65.45,57.60,48,42,134,528,2024-10-28,2024-12-11,2023-04-15,772345678901234,pieza,Stanley,STHT30830,6,FALSE,FALSE,TRUE
3,Alicate universal 8",Klein Tools D213-8 - Producto profesional de alta calidad,1,1,3,23,6,24,11,62.96,85.50,75.24,25,21,70,275,2024-11-22,2024-12-07,2023-08-10,773456789012345,pieza,Klein Tools,D213-8,6,FALSE,FALSE,TRUE
4,Alicate punta 6",Klein Tools D203-6 - Producto profesional de alta calidad,1,1,4,18,5,20,10,55.56,75.60,66.53,22,19,62,242,2024-11-05,2024-12-09,2023-03-28,774567890123456,pieza,Klein Tools,D203-6,6,FALSE,FALSE,TRUE
5,Destornillador plano 1/4",Stanley 60-010 - Producto profesional de alta calidad,1,2,5,34,7,28,12,18.52,25.18,22.16,28,25,78,308,2024-10-31,2024-12-06,2023-07-12,775678901234567,pieza,Stanley,60-010,6,FALSE,FALSE,TRUE
6,Destornillador Phillips #2,Stanley 60-020 - Producto profesional de alta calidad,1,2,6,45,8,32,13,20.74,28.20,24.82,31,27,87,341,2024-11-18,2024-12-10,2023-05-05,776789012345678,pieza,Stanley,60-020,6,FALSE,FALSE,TRUE
7,Martillo garra 16oz,Estwing E16C - Producto profesional de alta calidad,1,1,7,15,4,16,9,88.89,120.75,106.26,17,15,48,187,2024-11-12,2024-12-05,2023-09-20,777890123456789,pieza,Estwing,E16C,6,FALSE,FALSE,TRUE
8,Martillo bola 12oz,Estwing E12BP - Producto profesional de alta calidad,1,1,8,22,4,16,9,70.37,95.60,84.13,19,16,53,209,2024-10-25,2024-12-08,2023-02-14,778901234567890,pieza,Estwing,E12BP,6,FALSE,FALSE,TRUE
9,Llave inglesa 10",Crescent AC210VS - Producto profesional de alta calidad,1,2,1,28,5,20,10,70.37,95.60,84.13,21,18,59,231,2024-11-08,2024-12-09,2023-06-30,779012345678901,pieza,Crescent,AC210VS,6,FALSE,FALSE,TRUE
10,Llave inglesa 12",Crescent AC212VS - Producto profesional de alta calidad,1,2,2,19,4,16,9,92.59,125.95,110.84,16,14,45,176,2024-11-25,2024-12-07,2023-04-08,770123456789012,pieza,Crescent,AC212VS,6,FALSE,FALSE,TRUE
11,Taladro inalámbrico 12V,Makita FD05W - Producto profesional de alta calidad,2,4,3,8,3,12,8,360.00,450.90,396.79,12,10,34,132,2024-11-02,2024-12-11,2023-08-25,771234567890124,pieza,Makita,FD05W,12,FALSE,FALSE,TRUE
12,Taladro inalámbrico 18V,Makita DDF453 - Producto profesional de alta calidad,2,4,4,12,3,12,8,520.00,651.30,573.14,9,8,25,99,2024-10-29,2024-12-06,2023-03-18,772345678901235,pieza,Makita,DDF453,12,FALSE,FALSE,TRUE
13,Taladro percutor 1/2",Black & Decker BDH120 - Producto profesional de alta calidad,2,5,5,6,3,12,8,304.00,381.38,335.61,7,6,20,77,2024-11-19,2024-12-10,2023-07-03,773456789012346,pieza,Black & Decker,BDH120,12,FALSE,FALSE,TRUE
14,Sierra circular 7-1/4",Makita 5007MG - Producto profesional de alta calidad,2,4,6,4,3,12,8,712.00,892.05,784.60,5,4,14,55,2024-11-15,2024-12-08,2023-05-11,774567890123457,pieza,Makita,5007MG,12,FALSE,FALSE,TRUE
15,Esmeriladora 4-1/2",Black & Decker G720 - Producto profesional de alta calidad,2,5,7,9,3,12,8,336.00,421.26,370.71,8,7,22,88,2024-10-22,2024-12-09,2023-09-15,775678901234568,pieza,Black & Decker,G720,12,FALSE,FALSE,TRUE
16,Broca HSS 6mm,Bosch HSS-G-6 - Producto profesional de alta calidad,2,4,8,45,9,36,14,14.40,18.05,15.88,36,31,101,396,2024-11-06,2024-12-07,2023-02-28,776789012345679,pieza,Bosch,HSS-G-6,0,FALSE,FALSE,TRUE
17,Broca HSS 8mm,Bosch HSS-G-8 - Producto profesional de alta calidad,2,4,1,38,6,24,11,20.00,25.08,22.07,24,21,67,264,2024-11-23,2024-12-11,2023-06-16,777890123456780,pieza,Bosch,HSS-G-8,0,FALSE,FALSE,TRUE
18,Broca HSS 10mm,Bosch HSS-G-10 - Producto profesional de alta calidad,2,4,2,29,7,28,12,28.00,35.12,30.91,28,24,78,308,2024-10-30,2024-12-05,2023-04-22,778901234567891,pieza,Bosch,HSS-G-10,0,FALSE,FALSE,TRUE
19,Broca HSS 12mm,Bosch HSS-G-12 - Producto profesional de alta calidad,2,4,3,22,5,20,10,36.00,45.14,39.72,20,17,56,220,2024-11-09,2024-12-08,2023-08-07,779012345678902,pieza,Bosch,HSS-G-12,0,FALSE,FALSE,TRUE
20,Disco corte metal 4-1/2",Makita A-85388 - Producto profesional de alta calidad,2,4,4,67,14,56,19,9.60,12.04,10.60,56,48,157,616,2024-11-26,2024-12-10,2023-03-05,770123456789013,pieza,Makita,A-85388,0,FALSE,FALSE,TRUE
21,Tornillo autoperforante #8x1",Fixco TAP-8x1 - Producto profesional de alta calidad,3,3,5,156,28,112,33,0.61,0.85,0.75,112,95,314,1232,2024-11-13,2024-12-09,2023-07-19,771234567890125,unidad,Fixco,TAP-8x1,0,FALSE,FALSE,TRUE
22,Tornillo galvanizado M6x20,Fixco TG-M6x20 - Producto profesional de alta calidad,3,3,6,89,18,72,23,1.79,2.50,2.20,72,61,202,792,2024-10-27,2024-12-06,2023-05-26,772345678901236,unidad,Fixco,TG-M6x20,0,FALSE,FALSE,TRUE
23,Tornillo galvanizado M8x25,Fixco TG-M8x25 - Producto profesional de alta calidad,3,3,7,45,12,48,17,3.00,4.19,3.69,48,41,134,528,2024-11-20,2024-12-11,2023-09-02,773456789012347,unidad,Fixco,TG-M8x25,0,FALSE,FALSE,TRUE
24,Tuerca hexagonal M6,Fixco TH-M6 - Producto profesional de alta calidad,3,3,8,134,22,88,27,0.86,1.20,1.06,88,75,246,968,2024-11-04,2024-12-08,2023-02-09,774567890123458,unidad,Fixco,TH-M6,0,FALSE,FALSE,TRUE
25,Tuerca hexagonal M8,Fixco TH-M8 - Producto profesional de alta calidad,3,3,1,98,19,76,24,1.29,1.80,1.58,76,65,213,836,2024-10-21,2024-12-07,2023-06-14,775678901234569,unidad,Fixco,TH-M8,0,FALSE,FALSE,TRUE
26,Arandela plana M6,Fixco AP-M6 - Producto profesional de alta calidad,3,3,2,187,35,140,40,0.36,0.50,0.44,140,119,392,1540,2024-11-17,2024-12-10,2023-04-01,776789012345670,unidad,Fixco,AP-M6,0,FALSE,FALSE,TRUE
27,Clavo común 2",Fixco CC-2 - Producto profesional de alta calidad,3,3,3,278,42,168,47,0.11,0.15,0.13,168,143,470,1848,2024-11-01,2024-12-05,2023-08-18,777890123456781,unidad,Fixco,CC-2,0,FALSE,FALSE,TRUE
28,Clavo común 3",Fixco CC-3 - Producto profesional de alta calidad,3,3,4,156,31,124,36,0.18,0.25,0.22,124,105,347,1364,2024-10-24,2024-12-09,2023-03-12,778901234567892,unidad,Fixco,CC-3,0,FALSE,FALSE,TRUE
29,Taquete plástico #8,Fixco TP-8 - Producto profesional de alta calidad,3,3,5,98,24,96,29,0.25,0.35,0.31,96,82,269,1056,2024-11-11,2024-12-06,2023-07-28,779012345678903,unidad,Fixco,TP-8,0,FALSE,FALSE,TRUE
30,Taquete metálico 1/4",Fixco TM-1/4 - Producto profesional de alta calidad,3,3,6,34,8,32,13,2.00,2.80,2.46,32,27,90,352,2024-11-28,2024-12-11,2023-05-15,770123456789014,unidad,Fixco,TM-1/4,0,FALSE,FALSE,TRUE
31,Cable THW 12 AWG,Condumex THW-12 - Producto profesional de alta calidad,4,6,7,67,14,56,19,5.96,8.52,7.50,56,48,157,616,2024-11-07,2024-12-08,2023-09-23,771234567890126,pieza,Condumex,THW-12,0,FALSE,FALSE,TRUE
32,Cable THW 14 AWG,Condumex THW-14 - Producto profesional de alta calidad,4,6,8,89,18,72,23,4.77,6.82,6.00,72,61,202,792,2024-10-26,2024-12-07,2023-02-17,772345678901237,pieza,Condumex,THW-14,0,FALSE,FALSE,TRUE
33,Interruptor simple,Leviton 5501-2W - Producto profesional de alta calidad,4,6,1,23,5,20,10,10.53,15.06,13.25,20,17,56,220,2024-11-21,2024-12-10,2023-06-04,773456789012348,pieza,Leviton,5501-2W,0,FALSE,FALSE,TRUE
34,Interruptor doble,Leviton 5524-2W - Producto profesional de alta calidad,4,6,2,18,4,16,9,19.65,28.08,24.71,16,14,45,176,2024-11-14,2024-12-05,2023-04-19,774567890123459,pieza,Leviton,5524-2W,0,FALSE,FALSE,TRUE
35,Tomacorriente polarizado,Leviton 5320-W - Producto profesional de alta calidad,4,6,3,34,6,24,11,12.63,18.06,15.89,24,20,67,264,2024-10-23,2024-12-09,2023-08-26,775678901234570,pieza,Leviton,5320-W,0,FALSE,FALSE,TRUE
36,Tomacorriente con tierra,Leviton 5325-W - Producto profesional de alta calidad,4,6,4,28,6,24,11,15.44,22.08,19.43,24,20,67,264,2024-11-10,2024-12-06,2023-03-07,776789012345671,pieza,Leviton,5325-W,0,FALSE,FALSE,TRUE
37,Caja rectangular 2x4,Raco 8230 - Producto profesional de alta calidad,4,6,5,45,9,36,14,5.96,8.52,7.50,36,31,101,396,2024-11-27,2024-12-11,2023-07-13,777890123456782,pieza,Raco,8230,0,FALSE,FALSE,TRUE
38,Tubería conduit 1/2",Amanco TC-1/2 - Producto profesional de alta calidad,4,6,6,32,7,28,12,8.42,12.04,10.60,28,24,78,308,2024-11-03,2024-12-08,2023-05-20,778901234567893,pieza,Amanco,TC-1/2,0,FALSE,FALSE,TRUE
39,Conector conduit 1/2",Raco 2802 - Producto profesional de alta calidad,4,6,7,67,13,52,18,2.25,3.22,2.83,52,44,146,572,2024-10-29,2024-12-07,2023-09-05,779012345678904,pieza,Raco,2802,0,FALSE,FALSE,TRUE
40,Cinta aislante,3M 1700 - Producto profesional de alta calidad,4,6,8,89,18,72,23,3.16,4.52,3.98,72,61,202,792,2024-11-16,2024-12-10,2023-02-24,770123456789015,pieza,3M,1700,0,FALSE,FALSE,TRUE
41,Tubo PVC 1/2" x 6m,Amanco PVC-1/2 - Producto profesional de alta calidad,5,7,1,45,9,36,14,9.09,12.05,10.60,36,31,101,396,2024-11-12,2024-12-05,2023-06-29,771234567890127,pieza,Amanco,PVC-1/2,0,FALSE,FALSE,TRUE
42,Tubo PVC 3/4" x 6m,Amanco PVC-3/4 - Producto profesional de alta calidad,5,7,2,32,7,28,12,13.64,18.07,15.90,28,24,78,308,2024-10-25,2024-12-09,2023-04-16,772345678901238,pieza,Amanco,PVC-3/4,0,FALSE,FALSE,TRUE
43,Tubo PVC 1" x 6m,Amanco PVC-1 - Producto profesional de alta calidad,5,7,3,23,5,20,10,18.94,25.09,22.08,20,17,56,220,2024-11-22,2024-12-06,2023-08-03,773456789012349,pieza,Amanco,PVC-1,0,FALSE,FALSE,TRUE
44,Codo PVC 90° 1/2",Amanco C90-1/2 - Producto profesional de alta calidad,5,7,4,78,16,64,21,2.65,3.51,3.09,64,54,179,704,2024-11-05,2024-12-11,2023-03-21,774567890123460,pieza,Amanco,C90-1/2,0,FALSE,FALSE,TRUE
45,Codo PVC 90° 3/4",Amanco C90-3/4 - Producto profesional de alta calidad,5,7,5,56,11,44,16,3.94,5.22,4.59,44,37,123,484,2024-10-31,2024-12-08,2023-07-08,775678901234571,pieza,Amanco,C90-3/4,0,FALSE,FALSE,TRUE
46,Tee PVC 1/2",Amanco T-1/2 - Producto profesional de alta calidad,5,7,6,67,13,52,18,3.64,4.82,4.24,52,44,146,572,2024-11-18,2024-12-07,2023-05-25,776789012345672,pieza,Amanco,T-1/2,0,FALSE,FALSE,TRUE
47,Reducción PVC 3/4" x 1/2",Amanco R-3/4x1/2 - Producto profesional de alta calidad,5,7,7,43,9,36,14,4.92,6.52,5.74,36,31,101,396,2024-11-01,2024-12-10,2023-09-12,777890123456783,pieza,Amanco,R-3/4x1/2,0,FALSE,FALSE,TRUE
48,Llave de paso 1/2",Foset LP-1/2 - Producto profesional de alta calidad,5,7,8,19,4,16,9,26.52,35.14,30.92,16,14,45,176,2024-10-28,2024-12-05,2023-02-03,778901234567894,pieza,Foset,LP-1/2,0,FALSE,FALSE,TRUE
49,Llave mezcladora cocina,Helvex LM-103 - Producto profesional de alta calidad,5,7,1,8,2,8,5,140.15,185.69,163.41,8,7,22,88,2024-11-24,2024-12-09,2023-06-17,779012345678905,pieza,Helvex,LM-103,0,FALSE,FALSE,TRUE
50,Sifón lavamanos,Foset SL-101 - Producto profesional de alta calidad,5,7,2,34,7,28,12,21.21,28.09,24.72,28,24,78,308,2024-11-08,2024-12-06,2023-04-04,770123456789016,pieza,Foset,SL-101,0,FALSE,FALSE,TRUE
51,Pintura látex blanco 1 galón,Comex LX-100B - Producto profesional de alta calidad,6,6,3,23,5,20,10,140.63,180.20,158.58,20,17,56,220,2024-10-26,2024-12-11,2023-08-21,771234567890128,pieza,Comex,LX-100B,0,FALSE,TRUE,TRUE
52,Pintura látex colores 1 galón,Comex LX-100C - Producto profesional de alta calidad,6,6,4,18,4,16,9,152.34,195.22,171.79,16,14,45,176,2024-11-21,2024-12-08,2023-03-14,772345678901239,pieza,Comex,LX-100C,0,FALSE,TRUE,TRUE
53,Pintura esmalte blanco 1/4 galón,Comex ES-25B - Producto profesional de alta calidad,6,6,5,34,7,28,12,66.41,85.10,74.89,28,24,78,308,2024-11-14,2024-12-07,2023-07-01,773456789012350,pieza,Comex,ES-25B,0,FALSE,TRUE,TRUE
54,Primer sellador 1 galón,Comex PS-100 - Producto profesional de alta calidad,6,6,6,28,6,24,11,128.91,165.14,145.32,24,20,67,264,2024-10-23,2024-12-10,2023-05-18,774567890123461,pieza,Comex,PS-100,0,FALSE,TRUE,TRUE
55,Brocha 1 pulgada,Purdy B-1 - Producto profesional de alta calidad,6,6,7,45,9,36,14,19.53,25.04,22.04,36,31,101,396,2024-11-19,2024-12-05,2023-09-25,775678901234572,pieza,Purdy,B-1,0,FALSE,FALSE,TRUE
56,Brocha 2 pulgadas,Purdy B-2 - Producto profesional de alta calidad,6,6,8,38,8,32,13,27.34,35.05,30.84,32,27,90,352,2024-11-02,2024-12-09,2023-02-11,776789012345673,pieza,Purdy,B-2,0,FALSE,FALSE,TRUE
57,Brocha 3 pulgadas,Purdy B-3 - Producto profesional de alta calidad,6,6,1,29,6,24,11,35.16,45.07,39.66,24,20,67,264,2024-10-30,2024-12-06,2023-06-26,777890123456784,pieza,Purdy,B-3,0,FALSE,FALSE,TRUE
58,Rodillo 9 pulgadas,Wooster R-9 - Producto profesional de alta calidad,6,6,2,56,11,44,16,14.06,18.02,15.86,44,37,123,484,2024-11-26,2024-12-11,2023-04-13,778901234567895,pieza,Wooster,R-9,0,FALSE,FALSE,TRUE
59,Thinner estándar 1 galón,Comex TH-100 - Producto profesional de alta calidad,6,6,3,22,5,20,10,66.41,85.10,74.89,20,17,56,220,2024-11-09,2024-12-08,2023-08-30,779012345678906,pieza,Comex,TH-100,0,FALSE,TRUE,TRUE
60,Lija grano 120,3M L-120 - Producto profesional de alta calidad,6,6,4,67,13,52,18,6.64,8.51,7.49,52,44,146,572,2024-10-27,2024-12-07,2023-03-09,770123456789017,pieza,3M,L-120,0,FALSE,FALSE,TRUE
61,Casco seguridad blanco,3M H-701 - Producto profesional de alta calidad,7,8,5,12,3,12,8,58.62,85.13,74.91,12,10,34,132,2024-11-23,2024-12-10,2023-07-16,771234567890129,pieza,3M,H-701,0,FALSE,FALSE,TRUE
62,Casco seguridad amarillo,3M H-702 - Producto profesional de alta calidad,7,8,6,15,3,12,8,58.62,85.13,74.91,12,10,34,132,2024-11-06,2024-12-05,2023-05-03,772345678901240,pieza,3M,H-702,0,FALSE,FALSE,TRUE
63,Guantes látex caja x100,Ansell GL-100 - Producto profesional de alta calidad,7,8,7,23,5,20,10,17.24,25.04,22.04,20,17,56,220,2024-10-24,2024-12-09,2023-09-18,773456789012351,pieza,Ansell,GL-100,0,FALSE,FALSE,TRUE
64,Guantes nitrilo caja x100,Ansell GN-100 - Producto profesional de alta calidad,7,8,8,18,4,16,9,31.03,45.07,39.66,16,14,45,176,2024-11-20,2024-12-06,2023-02-25,774567890123462,pieza,Ansell,GN-100,0,FALSE,FALSE,TRUE
65,Lentes seguridad claros,3M LS-001 - Producto profesional de alta calidad,7,8,1,28,6,24,11,24.14,35.05,30.84,24,20,67,264,2024-11-13,2024-12-11,2023-06-12,775678901234573,pieza,3M,LS-001,0,FALSE,FALSE,TRUE
66,Lentes seguridad oscuros,3M LS-002 - Producto profesional de alta calidad,7,8,2,25,5,20,10,28.97,42.07,37.02,20,17,56,220,2024-10-31,2024-12-08,2023-04-29,776789012345674,pieza,3M,LS-002,0,FALSE,FALSE,TRUE
67,Tapones auditivos x50,3M TA-50 - Producto profesional de alta calidad,7,8,3,34,7,28,12,19.31,28.04,24.68,28,24,78,308,2024-11-17,2024-12-07,2023-08-06,777890123456785,pieza,3M,TA-50,0,FALSE,FALSE,TRUE
68,Mascarilla N95 x20,3M MN-20 - Producto profesional de alta calidad,7,8,4,19,4,16,9,44.83,65.11,57.30,16,14,45,176,2024-11-04,2024-12-10,2023-03-24,778901234567896,pieza,3M,MN-20,0,FALSE,FALSE,TRUE
69,Chaleco reflectivo,MSA CR-001 - Producto profesional de alta calidad,7,8,5,22,5,20,10,37.93,55.08,48.47,20,17,56,220,2024-10-22,2024-12-05,2023-07-11,779012345678907,pieza,MSA,CR-001,0,FALSE,FALSE,TRUE
70,Botas seguridad #9,Cat BS-09 - Producto profesional de alta calidad,7,8,6,8,2,8,5,196.55,285.17,251.15,8,7,22,88,2024-11-29,2024-12-09,2023-05-27,770123456789018,pieza,Cat,BS-09,0,FALSE,FALSE,TRUE
71,Linterna LED pequeña,Energizer LED-S - Producto profesional de alta calidad,8,5,7,34,7,28,12,33.33,45.20,39.78,28,24,78,308,2024-11-11,2024-12-06,2023-09-03,771234567890130,pieza,Energizer,LED-S,0,FALSE,FALSE,TRUE
72,Linterna LED mediana,Energizer LED-M - Producto profesional de alta calidad,8,5,8,23,5,20,10,62.96,85.50,75.24,20,17,56,220,2024-10-25,2024-12-11,2023-02-18,772345678901241,pieza,Energizer,LED-M,0,FALSE,FALSE,TRUE
73,Linterna LED grande,Energizer LED-L - Producto profesional de alta calidad,8,5,1,15,3,12,8,133.33,181.08,159.35,12,10,34,132,2024-11-22,2024-12-08,2023-06-05,773456789012352,pieza,Energizer,LED-L,0,FALSE,FALSE,TRUE
74,Foco LED 9W,Philips FL-9W - Producto profesional de alta calidad,8,5,2,45,9,36,14,18.52,25.18,22.16,36,31,101,396,2024-11-05,2024-12-07,2023-04-22,774567890123463,pieza,Philips,FL-9W,0,FALSE,FALSE,TRUE
75,Foco LED 15W,Philips FL-15W - Producto profesional de alta calidad,8,5,3,38,8,32,13,25.93,35.24,31.01,32,27,90,352,2024-10-28,2024-12-10,2023-08-14,775678901234574,pieza,Philips,FL-15W,0,FALSE,FALSE,TRUE
76,Foco LED 20W,Philips FL-20W - Producto profesional de alta calidad,8,5,4,29,6,24,11,35.56,48.29,42.49,24,20,67,264,2024-11-18,2024-12-05,2023-03-02,776789012345675,pieza,Philips,FL-20W,0,FALSE,FALSE,TRUE
77,Reflector LED 30W,Cooper RF-30W - Producto profesional de alta calidad,8,5,5,12,3,12,8,122.22,166.04,146.12,12,10,34,132,2024-11-01,2024-12-09,2023-07-20,777890123456786,pieza,Cooper,RF-30W,0,FALSE,FALSE,TRUE
78,Reflector LED 50W,Cooper RF-50W - Producto profesional de alta calidad,8,5,6,8,2,8,5,162.96,221.27,194.72,8,7,22,88,2024-10-30,2024-12-06,2023-05-07,778901234567897,pieza,Cooper,RF-50W,0,FALSE,FALSE,TRUE
79,Tubo fluorescente T8 32W,Philips TF-32W - Producto profesional de alta calidad,8,5,7,22,5,20,10,31.11,42.26,37.19,20,17,56,220,2024-11-26,2024-12-11,2023-09-13,779012345678908,pieza,Philips,TF-32W,0,FALSE,FALSE,TRUE
80,Balastro electrónico T8,Philips BE-T8 - Producto profesional de alta calidad,8,5,8,15,3,12,8,50.37,68.37,60.17,12,10,34,132,2024-11-09,2024-12-08,2023-02-26,770123456789019,pieza,Philips,BE-T8,0,FALSE,FALSE,TRUE
